url,non_comment_lines,total_lines,bytes,note,timestamp
https://easylist.to/easylist/easylist.txt,60132,74096,1917184,,2025-11-19T12:58:41.830384Z
https://easylist.to/easylist/easyprivacy.txt,54515,55250,1455639,,2025-11-19T12:58:41.830416Z
https://filters.adtidy.org/extension/chromium/filters/4.txt,14470,16227,873747,,2025-11-19T12:58:41.830427Z
https://filters.adtidy.org/extension/chromium/filters/11.txt,7224,8388,488314,,2025-11-19T12:58:41.830435Z
https://secure.fanboy.co.nz/fanboy-annoyance.txt,24399,53864,2041811,,2025-11-19T12:58:41.830443Z
https://secure.fanboy.co.nz/fanboy-cookiemonster.txt,9167,25247,846067,,2025-11-19T12:58:41.830450Z
https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/badware.txt,4231,6231,246811,,2025-11-19T12:58:41.830457Z
https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/privacy.txt,1185,2497,150570,,2025-11-19T12:58:41.830465Z
https://phishing.army/download/phishing_army_blocklist_extended.txt,160826,160839,3412523,,2025-11-19T12:58:41.830473Z
https://raw.githubusercontent.com/robonxt/CleanYourTwitter/master/CleanYourTwitter.txt,18,42,5180,,2025-11-19T12:58:41.830480Z
https://gist.githubusercontent.com/darthvader666uk/ccfdab18b9d59830876c373db8b4210d/raw/filterlist.txt,638,768,17488,,2025-11-19T12:58:41.830488Z
https://filters.adtidy.org/extension/chromium/filters/15.txt,118497,120046,2906390,,2025-11-19T12:58:41.830496Z
https://urlhaus.abuse.ch/downloads/hostfile/,731,740,22087,,2025-11-19T12:58:41.830504Z
https://pgl.yoyo.org/adservers/serverlist.php?hostformat=adblockrules&showintro=0&mimetype=plaintext,3481,3481,57679,,2025-11-19T12:58:41.830510Z
