url,non_comment_lines,unique_contribution,percent_unique,timestamp
https://easylist.to/easylist/easylist.txt,60136,20371,33.87,2025-11-19T13:10:59.192184Z
https://easylist.to/easylist/easyprivacy.txt,54514,31667,58.09,2025-11-19T13:10:59.192233Z
https://filters.adtidy.org/extension/chromium/filters/4.txt,14462,14282,98.76,2025-11-19T13:10:59.192243Z
https://filters.adtidy.org/extension/chromium/filters/11.txt,7210,6338,87.91,2025-11-19T13:10:59.192252Z
https://secure.fanboy.co.nz/fanboy-annoyance.txt,24398,14974,61.37,2025-11-19T13:10:59.192260Z
https://secure.fanboy.co.nz/fanboy-cookiemonster.txt,9166,40,0.44,2025-11-19T13:10:59.192267Z
https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/badware.txt,4231,4215,99.62,2025-11-19T13:10:59.192275Z
https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/privacy.txt,1185,1159,97.81,2025-11-19T13:10:59.192283Z
https://phishing.army/download/phishing_army_blocklist_extended.txt,160826,160823,100.00,2025-11-19T13:10:59.192291Z
https://raw.githubusercontent.com/robonxt/CleanYourTwitter/master/CleanYourTwitter.txt,18,18,100.00,2025-11-19T13:10:59.192299Z
https://gist.githubusercontent.com/darthvader666uk/ccfdab18b9d59830876c373db8b4210d/raw/filterlist.txt,637,544,85.40,2025-11-19T13:10:59.192306Z
https://filters.adtidy.org/extension/chromium/filters/15.txt,118497,55149,46.54,2025-11-19T13:10:59.192314Z
https://urlhaus.abuse.ch/downloads/hostfile/,731,730,99.86,2025-11-19T13:10:59.192330Z
https://pgl.yoyo.org/adservers/serverlist.php?hostformat=adblockrules&showintro=0&mimetype=plaintext,3481,3479,99.94,2025-11-19T13:10:59.192337Z
